system:index,alarm_date,cbi_over,cbi_over_t,cbi_tot,cbi_tot_t,fire_name,id,source,.geo
0000fd67be9e39c157bb,939193200000,1.26,,,,Lost,157,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.58009556240343,37.63811713133516]}"
0000fcb5bb039b09a46d,939193200000,0.81,,,,Lost,153,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.58022683047405,37.63932171482003]}"
000053de92e7307b178a,939193200000,1.78,,,,Lost,143,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.57999397244245,37.64035224398398]}"
00006fb7c84549ab8922,939193200000,0.61,,,,Lost,152,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.5799104139821,37.64130922239141]}"
0000f2b3606add0d2135,939193200000,0.1,,,,Lost,168,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.57910801102742,37.64290997805963]}"
000066268e419a5d9c92,939193200000,1.06,,,,Lost,169,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.57992810237441,37.64342188069176]}"
00006a16b5cb949b9c68,939193200000,0.9,,,,Lost,170,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.57968146963198,37.644055331621466]}"
00008cdf9385ec79062c,939193200000,0.75,,,,Lost,171,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.57957961131206,37.644517112842614]}"
000056c8fcde4e39217d,939193200000,1.69,,,,Lost,172,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.57984920752293,37.645592518276516]}"
00008a05e28855e2bab0,939193200000,2.31,,,,Lost,147,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.59364957292333,37.64166118730584]}"
000087bbf84826c65370,939193200000,3.0,,,,Lost,134,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.58649410446974,37.648211509267334]}"
0000c9826f06a767b275,939193200000,0.89,,,,Lost,156,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.58450847909708,37.649647212427304]}"
0000928b759eeef2a574,939193200000,2.83,,,,Lost,133,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.58573942809362,37.648737169421814]}"
00009405e6c36b8d9cbd,939193200000,2.8,,,,Lost,148,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.58528954268046,37.64736837361066]}"
0000b40ec6d596123d4e,939193200000,1.94,,,,Lost,149,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.58474319059705,37.64752902720058]}"
000092e47aac52b39e99,939193200000,1.21,,,,Lost,164,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.58429768861076,37.647689270709485]}"
00004cfb4e5d2b4a0c1b,939193200000,1.25,,,,Lost,165,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.58368792998469,37.64791708791266]}"
00004e8d11d35f73e0ce,939193200000,0.33,,,,Lost,166,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.58327703907764,37.648160370222676]}"
0000e654e2b9be5e6ced,939193200000,2.08,,,,Lost,138,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.5883533913832,37.644611439906335]}"
0000f6174bb3a9e7c2d9,939193200000,1.3,,,,Lost,145,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.58643242228706,37.64666480014923]}"
0000f642ad11aa0b6993,939193200000,2.54,,,,Lost,146,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.58678957848763,37.64738684514434]}"
000041750c209bf746f2,939193200000,2.95,,,,Lost,135,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.58760509260946,37.64655798069217]}"
