fire_id,sev_img_present,state,agency,unit_id,fire_name,inc_num,cause,comments,report_ac,gis_acres,c_method,objective,fire_num,area_ha,FID,ypmc_pixel_count,alarm_year,alarm_month,alarm_day,cont_year,cont_month,cont_day
000004ce3e03a08a246a,1,CA,USF,PNF,,00000000,5,,10,6.24736738204956,8,1,00000018,2.52821982235781,0,35,1988,5,10,1988,5,16
0000bd8f9b6178345da3,1,CA,NPS,KNP,TOMBSTONE,00000000,1,,220,207.088363647461,8,2,00000002,83.8056896256377,0,462,1988,5,23,1988,7,25
000019ccc5ce1832321c,1,CA,NPS,YNP,EAST LECONTE,00000011,1,,3752.65515664036,3752.67016601562,4,2,00000011,1518.6517346041,0,11909,1988,6,20,1988,11,19
00002af2ae25caa3111d,1,CA,NPS,YNP,WALKER,00000166,1,,2650.46403191099,2650.474609375,4,1,00000166,1072.60902597082,0,8308,1988,6,20,1988,11,10
0000f8f07331d97623ee,1,CA,NPS,YNP,WALKER,00000014,1,,497.587007515194,497.588989257812,8,2,00000014,201.367125293403,0,2481,1988,6,20,1988,11,10
000082d342432059fdab,1,CA,NPS,KNP,SUGARBABY,00000000,1,,11,6.8961353302002,8,2,00000018,2.79076699957549,0,9,1988,6,20,1988,8,14
0000de3e57b8ffb40732,1,CA,NPS,YNP,ECHO,00000015,1,,1424.19269652078,1424.19836425781,4,2,00000015,576.352643065535,0,4561,1988,6,21,1988,11,10
000012ca57b8b30a0b58,1,CA,USF,PNF,,00000000,1,,22,18.6368961334229,8,1,00000161,7.54208424443086,0,58,1988,6,24,1988,6,29
0000fa3326fdbcdf3bb8,1,CA,USF,STF,CLEARHOUSE,,9,20090305,2500,2499.55615234375,6,1,00000046,1011.53445251088,0,1115,1988,7,2,1988,7,8
0000395195b1272a72a0,1,CA,USF,STF,BOARDS,00000000,4,,35,26.7304954528809,8,1,00000122,10.8174479659795,0,152,1988,7,4,1988,7,5
00001e4771bbba5cbbd4,1,CA,CDF,AEU,AMADOR,00002364,7,,,329.036895751953,,1,00000253,133.156502485467,0,133,1988,7,18,,,
0000f46c4c9fa661a6c3,1,CA,NPS,KNP,FUNSTON,00000000,1,,80,101.676422119141,8,2,00000037,41.1469887696056,0,32,1988,7,18,1988,8,14
